id_protein,feature1,feature2,feature3,feature4,feature5,feature6,feature7,class_label
P0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
