Aktual,Prediksi
3.784649470617296e-05,3.278986739025386e-05
4.071093280799687e-05,4.071421876345681e-05
4.357537090982078e-05,4.02698829754128e-05
4.643980901164469e-05,3.6263203971811306e-05
3.021163956873352e-05,4.553776166322942e-05
3.811571150436066e-05,2.7917669710101717e-05
2.696396222745534e-05,3.333022699128681e-05
2.735212729021441e-05,1.882889243158085e-05
5.4958965847617947e-05,2.8695196912546333e-05
4.965523476130329e-05,2.85016816026958e-05
5.936505112913437e-05,5.0240817169348397e-05
7.141113746911287e-05,6.612196666537784e-05
2.3579794287797995e-05,6.976023311532722e-05
2.766286979749566e-05,3.883616015324757e-05
3.2572537747910246e-05,3.243822417668222e-05
2.6571897251415063e-05,3.048419613252109e-05
3.715442562679527e-05,2.334677052810245e-05
4.773695400217548e-05,3.272651827657722e-05
3.8676360418321565e-05,5.194867177730581e-05
2.961576683446765e-05,4.742649462157285e-05
3.559961260179989e-05,2.9501103320702292e-05
1.90479127013532e-05,3.204787183979837e-05
1.837092349887825e-05,3.690743930443811e-05
2.5745152925082948e-05,2.509867442238431e-05
3.75475058262964e-05,2.3047026144179467e-05
4.9349858727509854e-05,3.0702757915908783e-05
6.115221162872331e-05,4.011862741511626e-05
7.295456452993676e-05,5.845328913286115e-05
2.7246216632192954e-05,6.976023311532722e-05
4.860305489273742e-05,3.883616015324757e-05
2.813538321788656e-05,4.0557553984399415e-05
2.429201140330406e-05,3.7352562483445384e-05
1.9817990505544003e-05,2.242629792211422e-05
2.726033198996447e-05,1.822407762119838e-05
2.9400410312518943e-05,2.7266835180247046e-05
3.1540488635073416e-05,3.863037394088072e-05
4.726051884063054e-05,3.061515558834395e-05
4.462181186681846e-05,3.926794569350831e-05
4.1983104893006384e-05,5.223700534568505e-05
2.3211616280605085e-05,4.0515979435440386e-05
6.12930398347089e-05,2.3935356390817713e-05
4.427604017109843e-05,5.3905175263935234e-05
2.725904050748796e-05,4.737767024683611e-05
4.340234772826079e-05,2.2312840706541058e-05
1.8329926660953788e-05,3.92299776043122e-05
2.4168783966160845e-05,3.569398268155055e-05
2.9528356662922303e-05,2.684065990858168e-05
3.488792935968377e-05,3.6616049934915886e-05
5.466123366204556e-05,2.8176869212378126e-05
7.443453796440735e-05,3.583048217276681e-05
6.061566182324896e-05,6.964639214857016e-05
4.679678568209056e-05,5.316737397584975e-05
2.3213461645354982e-05,5.035037168048905e-05
2.3048201910569333e-05,2.2312840706541058e-05
4.095166877959855e-05,2.5185643607983366e-05
2.79506766673876e-05,3.0037617610408535e-05
2.957731339847669e-05,2.407990632491419e-05
3.120395012956578e-05,2.7767297069658525e-05
5.530780799745117e-05,3.061515558834395e-05
4.510440703597851e-05,2.85016816026958e-05
2.006139766308479e-05,3.5081515761703486e-05
5.216341378400102e-05,2.3344736417938188e-05
2.52642475970788e-05,3.495574280047246e-05
2.815250481944532e-05,4.060884293721756e-05
3.1040762041811835e-05,2.9896232566291782e-05
3.392901926417835e-05,2.7353752355136545e-05
3.681727648654487e-05,3.235655552294526e-05
3.970553370891139e-05,3.399879799979572e-05
3.604101584642194e-05,3.921630723784948e-05
4.812391944142291e-05,3.9589334175948886e-05
6.020682303642389e-05,4.1050064762910355e-05
2.907567250076681e-05,5.845328913286115e-05
1.556825100124115e-05,2.1209890948941596e-05
1.997931644837081e-05,2.320704670132222e-05
2.4390381895500468e-05,2.0683003084640306e-05
3.333120366733056e-05,2.4801834545649653e-05
1.870188134489581e-05,3.6227816963219084e-05
2.272206256748177e-05,3.894973239463676e-05
2.674224379006773e-05,2.4693263640074292e-05
