date,feature_index,NO2
2020-06-15T00:00:00.000Z,0,4.476361755223479E-5
2020-06-14T00:00:00.000Z,0,
2020-06-13T00:00:00.000Z,0,3.528413435560651E-5
2020-06-16T00:00:00.000Z,0,2.2981967276791693E-5
2020-06-17T00:00:00.000Z,0,2.8545226086862385E-5
2020-06-12T00:00:00.000Z,0,3.754280260181986E-5
2020-06-18T00:00:00.000Z,0,2.6615774004312698E-5
2020-06-11T00:00:00.000Z,0,6.946231951587833E-5
2020-10-28T00:00:00.000Z,0,3.1184288673102856E-5
2020-10-25T00:00:00.000Z,0,1.937842262123013E-5
2020-10-31T00:00:00.000Z,0,
2020-10-30T00:00:00.000Z,0,
2020-10-27T00:00:00.000Z,0,
2020-10-26T00:00:00.000Z,0,
2020-11-01T00:00:00.000Z,0,
2020-10-29T00:00:00.000Z,0,
2020-07-28T00:00:00.000Z,0,3.3778658689698204E-5
2020-07-24T00:00:00.000Z,0,2.3141681595006958E-5
2020-07-26T00:00:00.000Z,0,1.5376091596408514E-5
2020-07-22T00:00:00.000Z,0,3.2009382266551256E-5
2020-07-27T00:00:00.000Z,0,4.547862226900179E-5
2020-07-23T00:00:00.000Z,0,3.122043563053012E-5
2020-07-21T00:00:00.000Z,0,1.957483618753031E-5
2020-07-25T00:00:00.000Z,0,3.087793811573647E-5
2020-10-12T00:00:00.000Z,0,2.508808574930299E-5
2020-10-11T00:00:00.000Z,0,8.265218639280647E-6
2020-10-10T00:00:00.000Z,0,
2020-10-13T00:00:00.000Z,0,2.6519535822444595E-5
2020-10-09T00:00:00.000Z,0,
2020-10-15T00:00:00.000Z,0,5.76873298996361E-5
2020-10-14T00:00:00.000Z,0,3.420431494305376E-5
2020-10-16T00:00:00.000Z,0,2.1955360352876596E-5
2020-09-17T00:00:00.000Z,0,3.0123239412205294E-5
2020-09-15T00:00:00.000Z,0,2.938102261396125E-5
2020-09-19T00:00:00.000Z,0,1.9452148990239948E-5
2020-09-21T00:00:00.000Z,0,2.0680261513916776E-5
2020-09-18T00:00:00.000Z,0,
2020-09-16T00:00:00.000Z,0,2.7142825274495408E-5
2020-09-20T00:00:00.000Z,0,2.2916805392014794E-5
2020-09-22T00:00:00.000Z,0,4.660011290980037E-5
2020-12-02T00:00:00.000Z,0,
2020-11-30T00:00:00.000Z,0,
2020-11-27T00:00:00.000Z,0,
2020-11-26T00:00:00.000Z,0,
