date,NO2
2020-06-15,4.476361755223479e-05
2020-06-14,4.002387595392065e-05
2020-06-13,3.528413435560651e-05
2020-06-16,2.2981967276791693e-05
2020-06-17,2.8545226086862385e-05
2020-06-12,3.754280260181986e-05
2020-06-18,2.6615774004312694e-05
2020-06-11,6.946231951587833e-05
2020-10-28,3.1184288673102856e-05
2020-10-25,1.937842262123013e-05
2020-10-31,2.1435599202439854e-05
2020-10-30,2.3492775783649578e-05
2020-10-27,2.5549952364859306e-05
2020-10-26,2.7607128946069027e-05
2020-11-01,2.9664305527278755e-05
2020-10-29,3.172148210848848e-05
2020-07-28,3.3778658689698204e-05
2020-07-24,2.314168159500696e-05
2020-07-26,1.5376091596408514e-05
2020-07-22,3.2009382266551256e-05
2020-07-27,4.547862226900179e-05
2020-07-23,3.122043563053012e-05
2020-07-21,1.957483618753031e-05
2020-07-25,3.087793811573647e-05
2020-10-12,2.508808574930299e-05
2020-10-11,8.265218639280647e-06
2020-10-10,1.739237723086262e-05
2020-10-13,2.6519535822444595e-05
2020-10-09,4.2103432861040346e-05
2020-10-15,5.76873298996361e-05
2020-10-14,3.420431494305376e-05
2020-10-16,2.19553603528766e-05
2020-09-17,3.012323941220529e-05
2020-09-15,2.938102261396125e-05
2020-09-19,1.9452148990239948e-05
2020-09-21,2.0680261513916776e-05
2020-09-18,2.3911543394206092e-05
2020-09-16,2.7142825274495408e-05
2020-09-20,2.2916805392014797e-05
2020-09-22,4.660011290980037e-05
2020-12-02,4.466431700065085e-05
2020-11-30,4.272852109150133e-05
2020-11-27,4.079272518235181e-05
2020-11-26,3.885692927320229e-05
2020-12-01,3.6921133364052773e-05
2020-12-03,3.498533745490325e-05
2020-11-29,3.304954154575373e-05
2020-11-28,3.111374563660421e-05
2020-08-29,2.917794972745469e-05
2020-08-27,2.362476425332716e-05
2020-08-23,3.175748497596942e-05
2020-08-25,2.1963290237181354e-05
2020-08-24,1.881111029433669e-05
2020-08-28,1.1713002322721879e-05
2020-08-22,4.614894351107068e-06
2020-08-26,2.211410719610285e-05
